Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
viper,44,0.78,0.45,33,0.75,26.53,B
fade,18,1.4,1.0,11,0.61,39.92,B
sova,22,1.61,0.91,12,0.55,44.03,S
killjoy,22,0.9,0.68,13,0.59,30.48,B
vyse,18,0.96,0.44,8,0.44,33.51,A
neon,22,0.67,0.41,13,0.59,31.35,C
raze,18,1.58,1.06,12,0.67,46.9,A
omen,40,1.35,0.8,20,0.5,44.55,A
viper,40,1.15,0.6,18,0.45,36.63,B
fade,20,1.18,0.8,12,0.6,44.61,B
harbor,24,0.84,0.5,16,0.67,35.27,C
omen,26,0.66,0.27,18,0.69,35.01,A
jett,24,1.51,1.08,14,0.58,59.55,S
neon,26,1.22,0.96,19,0.73,54.48,C
raze,20,0.9,0.9,15,0.75,32.6,A
killjoy,24,1.12,0.75,15,0.62,49.18,B
omen,20,1.22,0.75,11,0.55,49.59,A
viper,26,0.96,0.65,17,0.65,32.11,B
killjoy,26,1.05,0.77,18,0.69,48.73,B
viper,44,0.93,0.73,30,0.68,54.16,B
